"player_name";"shot_distance";"intentos";"aciertos";"fgp"
"LeBron James";18;234;97;0.414529914529915
"LeBron James";19;220;94;0.427272727272727
"LeBron James";20;194;78;0.402061855670103
"LeBron James";21;174;59;0.339080459770115
"LeBron James";22;116;50;0.431034482758621
"LeBron James";23;142;54;0.380281690140845
"LeBron James";24;475;188;0.395789473684211
"LeBron James";25;556;191;0.343525179856115
"LeBron James";26;249;91;0.365461847389558
"LeBron James";27;73;25;0.342465753424658
"Marc Gasol";0;367;288;0.784741144414169
"Marc Gasol";1;389;255;0.655526992287918
"Marc Gasol";2;237;137;0.578059071729958
"Marc Gasol";3;125;56;0.448
"Marc Gasol";4;198;91;0.45959595959596
"Marc Gasol";5;228;100;0.43859649122807
"Marc Gasol";6;292;127;0.434931506849315
"Marc Gasol";7;255;131;0.513725490196078
"Marc Gasol";8;246;106;0.430894308943089
"Marc Gasol";9;214;98;0.457943925233645
"Marc Gasol";10;200;87;0.435
"Marc Gasol";11;226;91;0.402654867256637
"Marc Gasol";12;217;100;0.460829493087558
"Marc Gasol";13;173;82;0.473988439306358
"Marc Gasol";14;207;91;0.439613526570048
"Marc Gasol";15;205;81;0.395121951219512
"Marc Gasol";16;163;72;0.441717791411043
"Marc Gasol";17;226;96;0.424778761061947
"Marc Gasol";18;220;85;0.386363636363636
"Marc Gasol";19;240;94;0.391666666666667
"Marc Gasol";20;159;68;0.427672955974843
"Marc Gasol";21;66;24;0.363636363636364
"Marc Gasol";24;104;41;0.394230769230769
"Marc Gasol";25;120;40;0.333333333333333
"Pau Gasol";0;363;278;0.765840220385675
"Pau Gasol";1;559;354;0.633273703041145
"Pau Gasol";2;444;239;0.538288288288288
"Pau Gasol";3;210;103;0.49047619047619
"Pau Gasol";4;211;95;0.450236966824645
"Pau Gasol";5;224;96;0.428571428571429
"Pau Gasol";6;206;84;0.407766990291262
"Pau Gasol";7;203;82;0.403940886699507
"Pau Gasol";8;162;58;0.358024691358025
"Pau Gasol";9;128;59;0.4609375
"Pau Gasol";10;117;50;0.427350427350427
"Pau Gasol";11;140;47;0.335714285714286
"Pau Gasol";12;105;39;0.371428571428571
"Pau Gasol";13;118;52;0.440677966101695
